postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3713,1026,0,0,0,0,0,16/10/2021,17/10/2021
3714,3512,1,2,28.5,0,2,16/10/2021,17/10/2021
3715,308,0,1,0,0,0,16/10/2021,17/10/2021
3717,2654,2,8,75.4,0,3,16/10/2021,17/10/2021
3718,72,0,0,0,0,0,16/10/2021,17/10/2021
3719,371,0,0,0,0,0,16/10/2021,17/10/2021
3720,569,0,1,0,0,0,16/10/2021,17/10/2021
3722,5020,0,4,0,0,0,16/10/2021,17/10/2021
3723,3003,0,5,0,0,0,16/10/2021,17/10/2021
3725,631,0,0,0,0,0,16/10/2021,17/10/2021
3726,404,0,0,0,0,0,16/10/2021,17/10/2021
3727,305,0,0,0,0,0,16/10/2021,17/10/2021
3728,635,0,0,0,0,0,16/10/2021,17/10/2021
3730,8831,1,4,11.3,0,1,16/10/2021,17/10/2021
3732,595,0,0,0,0,0,16/10/2021,17/10/2021
3733,219,0,0,0,0,0,16/10/2021,17/10/2021
3735,609,0,0,0,0,0,16/10/2021,17/10/2021
3737,4302,2,2,46.5,0,2,16/10/2021,17/10/2021
3738,222,0,0,0,0,0,16/10/2021,17/10/2021
3739,215,0,0,0,0,0,16/10/2021,17/10/2021
3740,1075,0,0,0,0,0,16/10/2021,17/10/2021
3741,3098,0,1,0,0,0,16/10/2021,17/10/2021
3744,453,0,0,0,0,0,16/10/2021,17/10/2021
3746,385,0,0,0,0,0,16/10/2021,17/10/2021
3747,4628,0,0,0,0,0,16/10/2021,17/10/2021
3749,1889,0,0,0,0,0,16/10/2021,17/10/2021
3750,9060,242,673,2671.1,17,7,16/10/2021,17/10/2021
3751,272,3,9,1102.9,0,7,16/10/2021,17/10/2021
3752,24057,163,459,677.6,10,6,16/10/2021,17/10/2021
3753,2328,15,66,644.3,2,6,16/10/2021,17/10/2021
3754,37758,281,657,744.2,27,6,16/10/2021,17/10/2021
3755,251,2,2,796.8,1,6,16/10/2021,17/10/2021
3756,11926,73,175,612.1,10,6,16/10/2021,17/10/2021
3757,8955,24,53,268,3,5,16/10/2021,17/10/2021
3758,2182,4,10,183.3,0,4,16/10/2021,17/10/2021
3759,1062,0,1,0,0,0,16/10/2021,17/10/2021
3760,372,0,1,0,0,0,16/10/2021,17/10/2021
3761,1230,6,12,487.8,4,5,16/10/2021,17/10/2021
3762,131,0,0,0,0,0,16/10/2021,17/10/2021
3763,1536,2,9,130.2,0,4,16/10/2021,17/10/2021
3764,9161,12,50,131,0,4,16/10/2021,17/10/2021
3765,6764,6,21,88.7,0,3,16/10/2021,17/10/2021
3766,1240,3,7,241.9,2,5,16/10/2021,17/10/2021
3767,1253,0,2,0,0,0,16/10/2021,17/10/2021
3770,3222,2,9,62.1,0,3,16/10/2021,17/10/2021
3775,3865,1,7,25.9,0,2,16/10/2021,17/10/2021
3777,10753,16,29,148.8,3,4,16/10/2021,17/10/2021
3778,199,0,1,0,0,0,16/10/2021,17/10/2021
